,Word,Freq,word_rank,Prob. Per cent,Prob
0,spotify,3624,1.0,7.209501263254222,0.07209501263254223
1,https,3364,2.0,6.692263313903754,0.06692263313903754
2,wrapped,784,3.0,1.5596713549644896,0.015596713549644895
3,music,561,4.0,1.1160403445600493,0.011160403445600493
4,spotifywrapped,430,5.0,0.8554319931565441,0.00855431993156544
5,i,424,6.0,0.8434957327869178,0.008434957327869178
6,year,410,7.0,0.8156444585911233,0.008156444585911233
7,apple,409,8.0,0.8136550818628524,0.008136550818628524
8,top,377,9.0,0.7499950265581794,0.0074999502655817936
9,streams,271,10.0,0.5391210933614499,0.005391210933614499
10,en,263,11.0,0.5232060795352816,0.005232060795352816
11,artist,259,12.0,0.5152485726221975,0.005152485726221975
12,bts,253,13.0,0.5033123122525713,0.005033123122525713
13,gt,250,14.0,0.49734418206775816,0.004973441820677582
14,you,238,15.0,0.4734716613285058,0.004734716613285058
15,songs,226,16.0,0.4495991405892534,0.0044959914058925335
16,playlist,218,17.0,0.43368412676308515,0.004336841267630852
17,everyone,206,18.5,0.4098116060238327,0.004098116060238327
18,artists,206,18.5,0.4098116060238327,0.004098116060238327
19,amp,202,20.0,0.4018540991107486,0.004018540991107486
20,posting,200,21.0,0.3978753456542065,0.003978753456542065
21,thank,199,22.0,0.39588596892593547,0.003958859689259355
22,love,193,23.5,0.3839497085563093,0.003839497085563093
23,song,193,23.5,0.3839497085563093,0.003839497085563093
24,streamed,190,25.0,0.3779815783714962,0.003779815783714962
25,listen,189,26.0,0.37599220164322517,0.0037599220164322516
26,users,178,27.0,0.3541090576322438,0.0035410905763224383
27,jual,171,28.0,0.3401834205343466,0.003401834205343466
28,got,168,29.0,0.3342152903495335,0.003342152903495335
29,seeing,159,30.0,0.3163108997950942,0.003163108997950942
30,la,155,31.0,0.3083533928820101,0.0030835339288201005
31,el,154,32.5,0.30636401615373904,0.0030636401615373905
32,the,154,32.5,0.30636401615373904,0.0030636401615373905
33,hours,148,34.0,0.29442775578411284,0.0029442775578411282
34,decade,147,35.0,0.2924383790558418,0.0029243837905584182
35,fucking,139,36.0,0.2765233652296735,0.0027652336522967355
36,surpassed,138,37.0,0.2745339885014025,0.002745339885014025
37,it,134,38.0,0.26657648158831837,0.0026657648158831837
38,mi,126,39.0,0.25066146776215015,0.0025066146776215013
