type,year,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,gender,global_key_y,publisher,title_y,link_y,cs,de,se,th
cs,2000,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762,5762
cs,2001,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531,6531
cs,2002,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057,6057
cs,2003,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528,8528
cs,2004,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712
cs,2005,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433,12433
cs,2006,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336
cs,2007,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131,15131
cs,2008,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678,14678
cs,2009,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984,15984
cs,2010,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179,16179
cs,2011,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505,20505
cs,2012,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794
cs,2013,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864,25864
cs,2014,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373,23373
cs,2015,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408,29408
cs,2016,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946,27946
de,2000,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661,661
de,2001,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977,977
de,2002,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
de,2003,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386
de,2004,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075
de,2005,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
de,2006,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280
de,2007,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366
de,2008,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546
de,2009,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284,2284
de,2010,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479
de,2011,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357,2357
de,2012,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393
de,2013,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437
de,2014,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724,2724
de,2015,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808,2808
de,2016,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630
se,2000,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485
se,2001,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
se,2002,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736
se,2003,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742
se,2004,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864
se,2005,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
se,2006,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039
se,2007,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
se,2008,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
se,2009,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
se,2010,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
se,2011,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
se,2012,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439
se,2013,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
se,2014,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
se,2015,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754
se,2016,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239
th,2000,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907
th,2001,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938
