year,publisher,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,gender,global_key_y,title_y,link_y,cs,de,se,th,type
2000,AAAI Press / The MIT Press,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
2000,ACL,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
2000,ACM,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
2000,ACM/SIAM,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
2000,IEEE,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549
2000,IEEE Computer Society,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418
2000,"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
2000,Morgan Kaufmann,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
2000,Springer,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972
2000,USENIX Association,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
2000,University of Alberta,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
2000,\N,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2001,ACM,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225
2001,ACM/SIAM,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
2001,CEUR-WS.org,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
2001,"CNRS, Toulose, France",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2001,IEEE,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532
2001,IEEE Computer Society,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539
2001,Morgan Kaufmann,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025
2001,Morgan Kaufmann Publishers,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
2001,Springer,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
2001,University of Alberta,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2001,\N,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
2002,AAAI Press / The MIT Press,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
2002,ACL,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
2002,ACM,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807,3807
2002,ACM/SIAM,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
2002,IEEE,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566
2002,IEEE Computer Society,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412
2002,Matfyzpress,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2002,Morgan Kaufmann,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611
2002,"Slovak University of Technology, Bratislava",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2002,Springer,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865
2002,USENIX Association,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
2002,University of Alberta,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
2002,\N,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
2003,AAAI Press,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276
2003,ACL,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
2003,ACM,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895
2003,ACM/SIAM,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
2003,CEUR-WS.org,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2003,IEEE,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634,634
2003,IEEE Computer Society,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238,3238
2003,IFIP,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
2003,Morgan Kaufmann,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728
2003,Springer,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542,2542
2003,The Association for Computer Linguistics,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
2003,\N,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897,897
2004,AAAI Press / The MIT Press,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543
2004,ACL,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
2004,ACM,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621,5621
2004,CEUR-WS.org,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2004,IEEE,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753
2004,IEEE Computer Society,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549
2004,Morgan Kaufmann,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523
2004,SIAM,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334
2004,Springer,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512
2004,USENIX,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2004,USENIX Association,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
2004,\N,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
2005,AAAI Press / The MIT Press,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
2005,ACM,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339,7339
2005,CEUR-WS.org,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
2005,IEEE,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818
2005,IEEE Computer Society,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079
2005,Professional Book Center,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904
2005,SIAM,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341
2005,Springer,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430
2005,The Association for Computer Linguistics,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318
2005,USENIX,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
2005,\N,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
2006,AAAI Press,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074
2006,ACM,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670
2006,ACM Press,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2006,CEUR-WS.org,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
2006,IEEE,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068
2006,IEEE Computer Society,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840
2006,Springer,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374,3374
2006,The Association for Computer Linguistics,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828
2006,USENIX,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
2006,USENIX Association,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
2007,AAAI Press,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070
2007,ACM,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822,7822
2007,Australian Computer Society,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
2007,CEUR-WS.org,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
2007,IEEE,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232
2007,IEEE Computer Society,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606
2007,SIAM,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
