year,publisher,gender,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,global_key_y,title_y,link_y,cs,de,se,th,type
2000,AAAI Press / The MIT Press,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2000,AAAI Press / The MIT Press,F,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
2000,AAAI Press / The MIT Press,M,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
2000,ACL,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2000,ACL,F,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2000,ACL,M,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
2000,ACM,-,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
2000,ACM,F,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548
2000,ACM,M,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174
2000,ACM/SIAM,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2000,ACM/SIAM,F,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
2000,ACM/SIAM,M,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
2000,IEEE,-,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
2000,IEEE,F,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
2000,IEEE,M,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
2000,IEEE Computer Society,-,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
2000,IEEE Computer Society,F,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
2000,IEEE Computer Society,M,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148
2000,"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy",-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2000,"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy",F,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2000,"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy",M,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2000,Morgan Kaufmann,-,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
2000,Morgan Kaufmann,F,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
2000,Morgan Kaufmann,M,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566
2000,Springer,-,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
2000,Springer,F,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
2000,Springer,M,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
2000,USENIX Association,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2000,USENIX Association,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2000,USENIX Association,M,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
2000,University of Alberta,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,University of Alberta,F,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2000,University of Alberta,M,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2000,\N,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,\N,F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,\N,M,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2001,ACM,-,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
2001,ACM,F,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613
2001,ACM,M,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406
2001,ACM/SIAM,-,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2001,ACM/SIAM,F,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
2001,ACM/SIAM,M,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263
2001,CEUR-WS.org,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2001,CEUR-WS.org,F,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2001,CEUR-WS.org,M,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2001,"CNRS, Toulose, France",-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2001,"CNRS, Toulose, France",F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2001,"CNRS, Toulose, France",M,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
