gender,year,l0,pos
-,2000,Asian,411
-,2000,GreaterAfrican,26
-,2000,GreaterEuropean,130
-,2001,Asian,537
-,2001,GreaterAfrican,32
-,2001,GreaterEuropean,143
-,2002,Asian,483
-,2002,GreaterAfrican,25
-,2002,GreaterEuropean,161
-,2003,Asian,680
-,2003,GreaterAfrican,32
-,2003,GreaterEuropean,159
-,2004,Asian,793
-,2004,GreaterAfrican,41
-,2004,GreaterEuropean,149
-,2005,Asian,1012
-,2005,GreaterAfrican,54
-,2005,GreaterEuropean,211
-,2006,Asian,1056
-,2006,GreaterAfrican,56
-,2006,GreaterEuropean,239
-,2007,Asian,1265
-,2007,GreaterAfrican,67
-,2007,GreaterEuropean,261
-,2008,Asian,1131
-,2008,GreaterAfrican,69
-,2008,GreaterEuropean,238
-,2009,Asian,1411
-,2009,GreaterAfrican,64
-,2009,GreaterEuropean,219
-,2010,Asian,1218
-,2010,GreaterAfrican,68
-,2010,GreaterEuropean,234
-,2011,Asian,1592
-,2011,GreaterAfrican,68
-,2011,GreaterEuropean,251
-,2012,Asian,1538
-,2012,GreaterAfrican,89
-,2012,GreaterEuropean,237
-,2013,Asian,1932
-,2013,GreaterAfrican,113
-,2013,GreaterEuropean,251
-,2014,Asian,1872
-,2014,GreaterAfrican,101
-,2014,GreaterEuropean,221
-,2015,Asian,2207
-,2015,GreaterAfrican,109
-,2015,GreaterEuropean,250
-,2016,Asian,2150
-,2016,GreaterAfrican,97
-,2016,GreaterEuropean,278
F,2000,Asian,397
F,2000,GreaterAfrican,64
F,2000,GreaterEuropean,925
F,2001,Asian,517
F,2001,GreaterAfrican,84
F,2001,GreaterEuropean,1056
F,2002,Asian,573
F,2002,GreaterAfrican,93
F,2002,GreaterEuropean,1060
F,2003,Asian,828
F,2003,GreaterAfrican,142
F,2003,GreaterEuropean,1239
F,2004,Asian,1064
F,2004,GreaterAfrican,159
F,2004,GreaterEuropean,1301
F,2005,Asian,1395
F,2005,GreaterAfrican,196
F,2005,GreaterEuropean,1670
F,2006,Asian,1434
F,2006,GreaterAfrican,241
F,2006,GreaterEuropean,1742
F,2007,Asian,1729
F,2007,GreaterAfrican,248
F,2007,GreaterEuropean,1839
F,2008,Asian,1803
F,2008,GreaterAfrican,280
F,2008,GreaterEuropean,1868
F,2009,Asian,2061
F,2009,GreaterAfrican,283
F,2009,GreaterEuropean,1882
F,2010,Asian,2138
F,2010,GreaterAfrican,334
F,2010,GreaterEuropean,2069
F,2011,Asian,2586
F,2011,GreaterAfrican,349
F,2011,GreaterEuropean,2473
F,2012,Asian,2621
F,2012,GreaterAfrican,383
F,2012,GreaterEuropean,2400
F,2013,Asian,3490
F,2013,GreaterAfrican,463
F,2013,GreaterEuropean,2958
F,2014,Asian,3345
F,2014,GreaterAfrican,462
F,2014,GreaterEuropean,2748
F,2015,Asian,3941
F,2015,GreaterAfrican,535
F,2015,GreaterEuropean,3205
F,2016,Asian,4082
F,2016,GreaterAfrican,541
F,2016,GreaterEuropean,3080
M,2000,Asian,1638
M,2000,GreaterAfrican,452
M,2000,GreaterEuropean,4772
M,2001,Asian,1996
M,2001,GreaterAfrican,553
M,2001,GreaterEuropean,5305
M,2002,Asian,2074
M,2002,GreaterAfrican,563
M,2002,GreaterEuropean,5453
M,2003,Asian,2832
M,2003,GreaterAfrican,651
M,2003,GreaterEuropean,6283
M,2004,Asian,3266
M,2004,GreaterAfrican,766
M,2004,GreaterEuropean,6924
M,2005,Asian,4298
M,2005,GreaterAfrican,968
M,2005,GreaterEuropean,8697
M,2006,Asian,4157
M,2006,GreaterAfrican,1037
M,2006,GreaterEuropean,8554
M,2007,Asian,4974
M,2007,GreaterAfrican,1287
M,2007,GreaterEuropean,10017
M,2008,Asian,5075
M,2008,GreaterAfrican,1262
M,2008,GreaterEuropean,9890
M,2009,Asian,5650
M,2009,GreaterAfrican,1205
M,2009,GreaterEuropean,9894
M,2010,Asian,5611
M,2010,GreaterAfrican,1285
M,2010,GreaterEuropean,10281
M,2011,Asian,6644
M,2011,GreaterAfrican,1500
M,2011,GreaterEuropean,11812
M,2012,Asian,6591
M,2012,GreaterAfrican,1542
M,2012,GreaterEuropean,11430
M,2013,Asian,8218
M,2013,GreaterAfrican,1877
M,2013,GreaterEuropean,14079
M,2014,Asian,8034
M,2014,GreaterAfrican,1847
M,2014,GreaterEuropean,12772
M,2015,Asian,9808
M,2015,GreaterAfrican,2168
M,2015,GreaterEuropean,15386
M,2016,Asian,9550
M,2016,GreaterAfrican,2053
M,2016,GreaterEuropean,13491
