type,year,gender,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,global_key_y,publisher,title_y,link_y,cs,de,se,th
cs,2000,-,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407
cs,2000,F,966,966,966,966,966,966,966,966,966,966,966,966,966,966,966,966,966,966,966,966
cs,2000,M,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389,4389
cs,2001,-,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483
cs,2001,F,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131
cs,2001,M,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917
cs,2002,-,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443
cs,2002,F,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073
cs,2002,M,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541,4541
cs,2003,-,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
cs,2003,F,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528
cs,2003,M,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394,6394
cs,2004,-,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605
cs,2004,F,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
cs,2004,M,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547,6547
cs,2005,-,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871
cs,2005,F,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276
cs,2005,M,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286,9286
cs,2006,-,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953,953
cs,2006,F,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380
cs,2006,M,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003
cs,2007,-,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152
cs,2007,F,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786
cs,2007,M,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193,11193
cs,2008,-,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073
cs,2008,F,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816,2816
cs,2008,M,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789,10789
cs,2009,-,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324
cs,2009,F,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123
cs,2009,M,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537,11537
cs,2010,-,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
cs,2010,F,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335,3335
cs,2010,M,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667
cs,2011,-,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535
cs,2011,F,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170,4170
cs,2011,M,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
cs,2012,-,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
cs,2012,F,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240,4240
cs,2012,M,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055,14055
cs,2013,-,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893
cs,2013,F,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640
cs,2013,M,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331,18331
cs,2014,-,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809
cs,2014,F,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127
cs,2014,M,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437,16437
cs,2015,-,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171
cs,2015,F,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
cs,2015,M,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037,21037
cs,2016,-,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113
cs,2016,F,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345
cs,2016,M,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488,19488
de,2000,-,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
de,2000,F,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
de,2000,M,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535
de,2001,-,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
de,2001,F,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
de,2001,M,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719
de,2002,-,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
de,2002,F,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
de,2002,M,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
de,2003,-,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
de,2003,F,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282
de,2003,M,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990
de,2004,-,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
de,2004,F,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407
de,2004,M,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456
de,2005,-,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
de,2005,F,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
de,2005,M,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
de,2006,-,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
de,2006,F,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441
