gender,year,l0,pos
-,2000,Asian,574
-,2000,GreaterAfrican,40
-,2000,GreaterEuropean,195
-,2001,Asian,647
-,2001,GreaterAfrican,42
-,2001,GreaterEuropean,178
-,2002,Asian,634
-,2002,GreaterAfrican,33
-,2002,GreaterEuropean,452
-,2003,Asian,865
-,2003,GreaterAfrican,35
-,2003,GreaterEuropean,223
-,2004,Asian,1050
-,2004,GreaterAfrican,38
-,2004,GreaterEuropean,214
-,2005,Asian,1428
-,2005,GreaterAfrican,77
-,2005,GreaterEuropean,302
-,2006,Asian,1567
-,2006,GreaterAfrican,98
-,2006,GreaterEuropean,375
-,2007,Asian,1764
-,2007,GreaterAfrican,76
-,2007,GreaterEuropean,389
-,2008,Asian,1720
-,2008,GreaterAfrican,105
-,2008,GreaterEuropean,353
-,2009,Asian,2046
-,2009,GreaterAfrican,73
-,2009,GreaterEuropean,313
-,2010,Asian,1903
-,2010,GreaterAfrican,115
-,2010,GreaterEuropean,372
-,2011,Asian,2474
-,2011,GreaterAfrican,78
-,2011,GreaterEuropean,362
-,2012,Asian,2490
-,2012,GreaterAfrican,141
-,2012,GreaterEuropean,419
-,2013,Asian,3662
-,2013,GreaterAfrican,181
-,2013,GreaterEuropean,448
-,2014,Asian,3221
-,2014,GreaterAfrican,159
-,2014,GreaterEuropean,413
-,2015,Asian,3978
-,2015,GreaterAfrican,209
-,2015,GreaterEuropean,432
-,2016,Asian,3959
-,2016,GreaterAfrican,191
-,2016,GreaterEuropean,502
F,2000,Asian,495
F,2000,GreaterAfrican,62
F,2000,GreaterEuropean,1085
F,2001,Asian,634
F,2001,GreaterAfrican,88
F,2001,GreaterEuropean,1335
F,2002,Asian,724
F,2002,GreaterAfrican,112
F,2002,GreaterEuropean,1406
F,2003,Asian,1027
F,2003,GreaterAfrican,148
F,2003,GreaterEuropean,1537
F,2004,Asian,1344
F,2004,GreaterAfrican,169
F,2004,GreaterEuropean,1790
F,2005,Asian,1678
F,2005,GreaterAfrican,249
F,2005,GreaterEuropean,2358
F,2006,Asian,1802
F,2006,GreaterAfrican,261
F,2006,GreaterEuropean,2298
F,2007,Asian,2198
F,2007,GreaterAfrican,293
F,2007,GreaterEuropean,2514
F,2008,Asian,2400
F,2008,GreaterAfrican,339
F,2008,GreaterEuropean,2562
F,2009,Asian,2788
F,2009,GreaterAfrican,347
F,2009,GreaterEuropean,2835
F,2010,Asian,3109
F,2010,GreaterAfrican,416
F,2010,GreaterEuropean,3158
F,2011,Asian,3906
F,2011,GreaterAfrican,462
F,2011,GreaterEuropean,3588
F,2012,Asian,4106
F,2012,GreaterAfrican,500
F,2012,GreaterEuropean,3763
F,2013,Asian,5607
F,2013,GreaterAfrican,589
F,2013,GreaterEuropean,4837
F,2014,Asian,5432
F,2014,GreaterAfrican,628
F,2014,GreaterEuropean,4645
F,2015,Asian,7355
F,2015,GreaterAfrican,752
F,2015,GreaterEuropean,5595
F,2016,Asian,7134
F,2016,GreaterAfrican,819
F,2016,GreaterEuropean,5431
M,2000,Asian,2026
M,2000,GreaterAfrican,469
M,2000,GreaterEuropean,5662
M,2001,Asian,2424
M,2001,GreaterAfrican,630
M,2001,GreaterEuropean,6166
M,2002,Asian,2559
M,2002,GreaterAfrican,656
M,2002,GreaterEuropean,6804
M,2003,Asian,3647
M,2003,GreaterAfrican,708
M,2003,GreaterEuropean,7619
M,2004,Asian,4213
M,2004,GreaterAfrican,880
M,2004,GreaterEuropean,9054
M,2005,Asian,5566
M,2005,GreaterAfrican,1129
M,2005,GreaterEuropean,11736
M,2006,Asian,5526
M,2006,GreaterAfrican,1214
M,2006,GreaterEuropean,11394
M,2007,Asian,6585
M,2007,GreaterAfrican,1494
M,2007,GreaterEuropean,13286
M,2008,Asian,6960
M,2008,GreaterAfrican,1556
M,2008,GreaterEuropean,13594
M,2009,Asian,8050
M,2009,GreaterAfrican,1489
M,2009,GreaterEuropean,14450
M,2010,Asian,8438
M,2010,GreaterAfrican,1652
M,2010,GreaterEuropean,15149
M,2011,Asian,10126
M,2011,GreaterAfrican,1852
M,2011,GreaterEuropean,18002
M,2012,Asian,10544
M,2012,GreaterAfrican,2139
M,2012,GreaterEuropean,18744
M,2013,Asian,13261
M,2013,GreaterAfrican,2547
M,2013,GreaterEuropean,22815
M,2014,Asian,13382
M,2014,GreaterAfrican,2772
M,2014,GreaterEuropean,21735
M,2015,Asian,18337
M,2015,GreaterAfrican,3531
M,2015,GreaterEuropean,27150
M,2016,Asian,17380
M,2016,GreaterAfrican,3321
M,2016,GreaterEuropean,24050
